date	store	Avg daily sales	Basket size, pieces	Basket size, value	Days open	Margin, value	Receipts	Sales	Visitors
2018-08-01	1070	8855.0	9.0	230.0	164.0	368163.0	8991.0	663429.0	221425.0
2018-08-01	1066	6634.0	10.0	338.0	157.0	155180.0	1394.0	116445.0	7798.0
2018-08-01	1063	10847.0	16.0	87.0	143.0	62169.0	5612.0	77338.0	13387.0
2018-08-01	1062	5840.0	8.0	335.0	123.0	298033.0	4334.0	74112.0	27407.0
2018-08-01	1048	8408.0	16.0	30.0	157.0	356749.0	7420.0	227218.0	27495.0
2018-08-01	1060	8681.0	13.0	192.0	91.0	360207.0	2173.0	217797.0	35309.0
2018-08-01	1061	46794.0	9.0	171.0	99.0	881557.0	28137.0	1955577.0	41594.0
2018-08-01	1049	12858.0	7.0	264.0	122.0	142790.0	6202.0	345269.0	21785.0
2018-08-01	1050	2091.0	15.0	180.0	155.0	323936.0	3076.0	388537.0	46143.0
2018-08-01	1044	6748.0	3.0	63.0	40.0	222859.0	7926.0	128864.0	18708.0
2018-08-01	1045	13949.0	7.0	294.0	95.0	555840.0	10179.0	289409.0	18315.0
2018-08-01	1051	5433.0	6.0	176.0	144.0	49532.0	5889.0	38791.0	27599.0
2018-08-01	1047	7719.0	15.0	185.0	86.0	47948.0	2120.0	182586.0	26056.0
2018-08-01	1042	3831.0	18.0	109.0	54.0	287594.0	5995.0	77203.0	6422.0
2018-08-01	1043	10099.0	6.0	221.0	145.0	247749.0	3178.0	266140.0	21598.0
2018-08-01	1069	7737.0	17.0	45.0	162.0	238660.0	3634.0	69940.0	9517.0
2018-08-01	1041	3735.0	19.0	250.0	137.0	263509.0	818.0	331653.0	17837.0
2018-08-01	1033	5752.0	9.0	116.0	132.0	294664.0	907.0	242234.0	24623.0
2018-08-01	1032	2570.0	5.0	75.0	54.0	454319.0	1969.0	561660.0	25947.0
2018-08-01	1030	13294.0	4.0	217.0	132.0	186092.0	8529.0	520259.0	62265.0
2018-08-01	1031	37078.0	11.0	124.0	123.0	907116.0	10493.0	1122600.0	56822.0
2018-08-01	1035	12123.0	7.0	165.0	146.0	187183.0	7968.0	170428.0	6427.0
2018-08-01	1034	9589.0	3.0	106.0	107.0	258381.0	1221.0	59324.0	17878.0
2018-08-01	1036	8202.0	10.0	149.0	131.0	61523.0	6401.0	421657.0	27099.0
2018-08-01	1037	25506.0	7.0	163.0	127.0	331062.0	11212.0	384117.0	84296.0
2017-05-01	1039	4214.0	19.0	99.0	138.0	103373.0	3508.0	132174.0	17587.0
2017-05-01	1038	4334.0	14.0	85.0	146.0	34935.0	3750.0	200054.0	19449.0
2017-05-01	1028	3068.0	8.0	140.0	21.0	332562.0	6444.0	116357.0	14354.0
2017-05-01	1029	31123.0	13.0	301.0	104.0	385372.0	12614.0	141657.0	26614.0
2017-05-01	1065	3868.0	3.0	24.0	15.0	56557.0	1942.0	27373.0	12511.0
2017-05-01	1058	2456.0	12.0	44.0	63.0	61694.0	4493.0	205670.0	12158.0
2017-05-01	1064	3698.0	3.0	151.0	89.0	91659.0	2598.0	120640.0	4107.0
2017-05-01	1070	12993.0	12.0	169.0	60.0	378950.0	3805.0	237391.0	85947.0
2017-05-01	1066	3282.0	7.0	200.0	106.0	50747.0	971.0	117815.0	4194.0
2017-05-01	1063	3974.0	11.0	174.0	157.0	46748.0	1169.0	103731.0	18559.0
2017-05-01	1062	651.0	2.0	112.0	121.0	15721.0	2570.0	111321.0	2862.0
2017-05-01	1048	7412.0	4.0	119.0	75.0	127456.0	3807.0	51348.0	5771.0
2017-05-01	1060	6579.0	7.0	28.0	89.0	18788.0	1327.0	247837.0	17676.0
2017-05-01	1061	16260.0	3.0	364.0	151.0	383197.0	16224.0	630699.0	16329.0
2017-05-01	1049	5581.0	16.0	193.0	100.0	91009.0	2861.0	30091.0	5424.0
2017-05-01	1044	3820.0	2.0	121.0	95.0	178528.0	1948.0	245517.0	7559.0
2017-05-01	1045	7070.0	11.0	195.0	50.0	134573.0	2507.0	64320.0	3447.0
2017-05-01	1047	4811.0	9.0	173.0	128.0	267359.0	2457.0	400082.0	11510.0
2017-05-01	1042	7927.0	3.0	213.0	147.0	128681.0	1610.0	231738.0	3108.0
2017-05-01	1043	2124.0	1.0	154.0	160.0	126770.0	5925.0	206669.0	11464.0
2017-05-01	1069	5166.0	9.0	144.0	73.0	62534.0	3134.0	92994.0	3538.0
2017-05-01	1041	5485.0	13.0	217.0	148.0	37418.0	3713.0	53594.0	12724.0
2017-05-01	1033	2816.0	8.0	44.0	137.0	79996.0	3735.0	231450.0	37614.0
2017-05-01	1032	3854.0	12.0	146.0	62.0	19116.0	4422.0	159314.0	3058.0
2017-05-01	1030	13672.0	8.0	111.0	31.0	210779.0	9890.0	100253.0	20367.0
2017-05-01	1031	14696.0	15.0	230.0	69.0	200416.0	2666.0	254059.0	16541.0
2017-05-01	1035	3302.0	4.0	159.0	144.0	84147.0	2317.0	192382.0	19876.0
2017-05-01	1034	2742.0	11.0	187.0	64.0	110169.0	2316.0	118995.0	9934.0
2017-05-01	1036	5272.0	14.0	159.0	21.0	68917.0	4136.0	201767.0	25169.0
2017-05-01	1037	13339.0	11.0	172.0	134.0	218861.0	9400.0	113692.0	42890.0
2015-11-01	1039	8503.0	2.0	205.0	77.0	36481.0	952.0	110200.0	46571.0
2015-11-01	1038	5161.0	15.0	187.0	88.0	57729.0	3010.0	85561.0	15082.0
2015-11-01	1028	3019.0	9.0	242.0	47.0	63053.0	5822.0	271812.0	2464.0
2015-11-01	1029	16279.0	5.0	282.0	91.0	498483.0	2893.0	195160.0	44850.0
2015-11-01	1065	3109.0	4.0	186.0	96.0	25135.0	2428.0	16368.0	23482.0
2015-11-01	1058	2964.0	17.0	87.0	87.0	68070.0	3247.0	67435.0	1581.0
2015-11-01	1064	3136.0	5.0	135.0	129.0	78334.0	916.0	21052.0	11048.0
2015-11-01	1066	537.0	11.0	101.0	138.0	96166.0	1788.0	22579.0	14608.0
2015-11-01	1063	2151.0	11.0	90.0	28.0	90292.0	2877.0	51649.0	13762.0
2015-11-01	1062	2252.0	6.0	297.0	113.0	24292.0	634.0	46804.0	19349.0
2015-11-01	1048	1707.0	7.0	30.0	29.0	146744.0	5534.0	169371.0	23975.0
2015-11-01	1060	2593.0	11.0	115.0	40.0	122257.0	2472.0	66274.0	33751.0
2015-11-01	1061	6917.0	14.0	337.0	138.0	77646.0	1275.0	296690.0	50497.0
2015-11-01	1049	863.0	3.0	121.0	72.0	116881.0	6155.0	39468.0	11107.0
2015-11-01	1044	2821.0	5.0	163.0	45.0	93724.0	3419.0	169117.0	26699.0
2015-11-01	1045	14756.0	2.0	46.0	147.0	182344.0	1829.0	229912.0	6707.0
2015-11-01	1047	5512.0	2.0	182.0	21.0	148667.0	5815.0	201078.0	3157.0
2015-11-01	1042	7522.0	15.0	50.0	32.0	135367.0	4704.0	33654.0	20537.0
2015-11-01	1043	2040.0	10.0	89.0	154.0	96812.0	3583.0	202257.0	2919.0
2015-11-01	1069	4751.0	4.0	152.0	58.0	75294.0	1399.0	53517.0	43815.0
2015-11-01	1041	1267.0	11.0	160.0	80.0	24182.0	1101.0	27145.0	2383.0
2015-11-01	1068	434.0	17.0	220.0	70.0	32632.0	1045.0	41316.0	6380.0
2015-11-01	1033	3998.0	10.0	110.0	62.0	39461.0	3937.0	30152.0	10371.0
2015-11-01	1032	1363.0	6.0	106.0	85.0	12845.0	1691.0	113248.0	6211.0
2015-11-01	1030	5338.0	14.0	103.0	94.0	60756.0	2236.0	159034.0	31247.0
2015-11-01	1031	11028.0	24.0	36.0	51.0	231581.0	4663.0	233640.0	4285.0
2015-11-01	1035	2884.0	4.0	31.0	125.0	85872.0	3715.0	175758.0	13122.0
2015-11-01	1034	2113.0	6.0	125.0	149.0	79945.0	4257.0	183115.0	1629.0
2015-11-01	1036	4705.0	15.0	201.0	112.0	106052.0	4169.0	134754.0	4101.0
2015-11-01	1037	6310.0	14.0	117.0	18.0	24205.0	3577.0	38338.0	38941.0
2019-06-01	1039	1727.0	2.0	203.0	27.0	161258.0	3019.0	316114.0	43961.0
2019-06-01	1038	7060.0	6.0	145.0	86.0	83869.0	9834.0	118158.0	17474.0
2019-06-01	1028	19738.0	2.0	222.0	109.0	83948.0	4796.0	113779.0	19218.0
2019-06-01	1029	8458.0	14.0	161.0	93.0	506244.0	10985.0	408488.0	41762.0
2019-06-01	1071	6480.0	12.0	215.0	144.0	70467.0	617.0	121061.0	14621.0
2019-06-01	1065	611.0	13.0	30.0	98.0	37217.0	2843.0	40725.0	23759.0
2019-06-01	1058	14116.0	6.0	166.0	128.0	344555.0	8021.0	592770.0	10811.0
2019-06-01	1070	3777.0	10.0	104.0	89.0	162907.0	4941.0	413143.0	169654.0
2019-06-01	1072	1219.0	10.0	100.0	59.0	74577.0	1673.0	76628.0	4636.0
2019-06-01	1073	2292.0	3.0	190.0	92.0	20505.0	959.0	10561.0	1309.0
2019-06-01	1063	3054.0	9.0	143.0	132.0	66755.0	541.0	168896.0	6708.0
2019-06-01	1076	343.0	3.0	129.0	72.0	9922.0	339.0	4137.0	6765.0
2019-06-01	1062	3766.0	11.0	135.0	129.0	17737.0	3864.0	73298.0	20244.0
2019-06-01	1048	6774.0	9.0	74.0	21.0	111815.0	1080.0	194486.0	4011.0
2019-06-01	1074	3298.0	10.0	167.0	137.0	132549.0	2716.0	73162.0	6858.0
2019-06-01	1060	4171.0	13.0	95.0	50.0	73928.0	1731.0	253368.0	31737.0
2019-06-01	1061	23665.0	6.0	133.0	29.0	138147.0	7416.0	996899.0	106768.0
2019-06-01	1049	8822.0	8.0	187.0	60.0	147828.0	4128.0	366686.0	14949.0
2019-06-01	1050	10389.0	16.0	59.0	20.0	38294.0	2035.0	40034.0	37900.0
2019-06-01	1044	7111.0	2.0	123.0	127.0	121750.0	1501.0	234616.0	12583.0
2019-06-01	1045	14107.0	7.0	65.0	34.0	247947.0	8127.0	368519.0	10756.0
2019-06-01	1051	5523.0	14.0	31.0	139.0	67373.0	3063.0	153925.0	10041.0
2019-06-01	1047	13054.0	21.0	55.0	55.0	151144.0	4038.0	531829.0	13561.0
2019-06-01	1042	12553.0	10.0	17.0	30.0	34900.0	4539.0	344712.0	17464.0
2019-06-01	1043	13187.0	2.0	123.0	151.0	129633.0	4551.0	207455.0	18659.0
2019-06-01	1069	5515.0	1.0	124.0	110.0	26012.0	3121.0	131352.0	6432.0
2019-06-01	1041	1781.0	22.0	70.0	137.0	28614.0	2351.0	305593.0	19971.0
2019-06-01	1033	3716.0	7.0	112.0	72.0	141410.0	3155.0	210700.0	2701.0
2019-06-01	1032	4667.0	4.0	171.0	91.0	84792.0	5652.0	123269.0	15295.0
2019-06-01	1030	17863.0	19.0	123.0	105.0	208785.0	14208.0	110595.0	74770.0
2019-06-01	1031	6968.0	20.0	78.0	130.0	529590.0	14932.0	822698.0	51002.0
2019-06-01	1035	4331.0	8.0	74.0	79.0	172207.0	5962.0	109883.0	12019.0
2019-06-01	1034	7697.0	12.0	179.0	74.0	76473.0	2797.0	185677.0	2785.0
2019-06-01	1036	6309.0	12.0	98.0	48.0	20263.0	7755.0	166633.0	8468.0
2019-06-01	1037	24061.0	7.0	44.0	42.0	326927.0	18405.0	368086.0	19518.0
2017-11-01	1039	13581.0	13.0	157.0	86.0	80522.0	1239.0	155149.0	59293.0
2017-11-01	1038	944.0	15.0	104.0	66.0	67433.0	1251.0	23866.0	11004.0
2017-11-01	1028	22373.0	14.0	256.0	68.0	1261302.0	11625.0	1106749.0	17748.0
2017-11-01	1029	12856.0	21.0	269.0	91.0	183169.0	6271.0	706393.0	49078.0
2017-11-01	1065	5314.0	4.0	296.0	50.0	173524.0	688.0	53046.0	23011.0
2017-11-01	1058	6044.0	2.0	53.0	138.0	79519.0	1774.0	37214.0	6565.0
2017-11-01	1064	2573.0	12.0	41.0	45.0	126006.0	4055.0	163523.0	11859.0
2017-11-01	1070	3051.0	3.0	170.0	113.0	197737.0	6500.0	383532.0	85066.0
2017-11-01	1066	7029.0	12.0	35.0	150.0	50216.0	609.0	89934.0	9462.0
2017-11-01	1063	6789.0	11.0	43.0	23.0	140632.0	4515.0	263641.0	14148.0
2017-11-01	1062	5830.0	15.0	217.0	30.0	115628.0	935.0	59247.0	30509.0
2017-11-01	1048	6987.0	11.0	25.0	112.0	162828.0	6956.0	172981.0	13303.0
2017-11-01	1060	8123.0	2.0	153.0	54.0	52296.0	8206.0	266688.0	9256.0
2017-11-01	1061	12210.0	4.0	254.0	141.0	690649.0	3959.0	467525.0	62602.0
2017-11-01	1049	3281.0	2.0	142.0	98.0	28009.0	4967.0	36933.0	30875.0
2017-11-01	1050	8725.0	10.0	81.0	116.0	69957.0	5105.0	251273.0	27402.0
2017-11-01	1044	10307.0	3.0	224.0	141.0	235380.0	5551.0	306479.0	30162.0
2017-11-01	1045	12857.0	6.0	171.0	24.0	58169.0	8372.0	544417.0	24408.0
2017-11-01	1047	16751.0	7.0	204.0	129.0	65420.0	11032.0	288419.0	27493.0
2017-11-01	1042	7296.0	15.0	25.0	69.0	233121.0	1381.0	333614.0	22040.0
2017-11-01	1043	2353.0	10.0	191.0	128.0	96645.0	7686.0	64005.0	24686.0
2017-11-01	1069	3668.0	12.0	195.0	59.0	154806.0	1456.0	135144.0	12338.0
2017-11-01	1041	2749.0	14.0	105.0	72.0	21699.0	2050.0	47791.0	3047.0
2017-11-01	1033	7392.0	11.0	85.0	152.0	160136.0	4768.0	108003.0	7357.0
2017-11-01	1032	7125.0	13.0	53.0	19.0	101110.0	1594.0	266079.0	23848.0
2017-11-01	1030	13260.0	11.0	35.0	75.0	54343.0	5956.0	94043.0	9613.0
2017-11-01	1031	10886.0	25.0	214.0	131.0	339454.0	8789.0	397079.0	13001.0
2017-11-01	1035	1224.0	2.0	208.0	46.0	87471.0	1336.0	181510.0	19918.0
2017-11-01	1034	2116.0	3.0	168.0	106.0	74624.0	1363.0	57752.0	22175.0
2017-11-01	1036	3903.0	14.0	53.0	142.0	13821.0	5156.0	83999.0	5397.0
2017-11-01	1037	15708.0	4.0	22.0	160.0	257078.0	8904.0	243882.0	33809.0
2019-12-01	1039	25372.0	14.0	77.0	99.0	213769.0	14396.0	238585.0	136796.0
2019-12-01	1038	2856.0	11.0	126.0	121.0	212900.0	5236.0	68776.0	18310.0
2019-12-01	1028	6810.0	18.0	248.0	50.0	174925.0	4082.0	532475.0	33301.0
2019-12-01	1029	40556.0	15.0	237.0	92.0	168788.0	16081.0	1257504.0	26268.0
2019-12-01	1071	3740.0	11.0	113.0	124.0	183203.0	3679.0	209087.0	30562.0
2019-12-01	1065	4710.0	4.0	137.0	55.0	161343.0	7229.0	50014.0	38706.0
2019-12-01	1058	9232.0	14.0	32.0	89.0	48242.0	6122.0	93701.0	10944.0
2019-12-01	1070	6614.0	3.0	35.0	75.0	290016.0	7966.0	163849.0	22748.0
2019-12-01	1072	1381.0	3.0	77.0	26.0	121258.0	3694.0	63026.0	15905.0
2019-12-01	1073	5898.0	6.0	176.0	137.0	67258.0	3527.0	139495.0	10340.0
2019-12-01	1063	1618.0	3.0	110.0	105.0	269447.0	10519.0	63764.0	7292.0
2019-12-01	1076	387.0	7.0	18.0	45.0	2902.0	170.0	2289.0	2934.0
2019-12-01	1062	4809.0	13.0	228.0	100.0	160725.0	1370.0	222338.0	30739.0
2019-12-01	1048	15335.0	16.0	169.0	148.0	197219.0	5631.0	511615.0	11741.0
2019-12-01	1074	2751.0	15.0	132.0	165.0	46849.0	1866.0	138192.0	34220.0
2019-12-01	1060	22800.0	3.0	129.0	67.0	546309.0	18147.0	423525.0	15779.0
2019-12-01	1061	27159.0	9.0	180.0	110.0	854493.0	9530.0	1166117.0	76339.0
2019-12-01	1075	9988.0	9.0	211.0	73.0	83274.0	1088.0	276426.0	15241.0
2019-12-01	1049	24440.0	14.0	79.0	43.0	155244.0	2167.0	854192.0	64050.0
2019-12-01	1050	35709.0	19.0	180.0	79.0	794747.0	25305.0	928680.0	78768.0
2019-12-01	1044	33648.0	8.0	113.0	79.0	330180.0	14418.0	426555.0	34077.0
2019-12-01	1045	25677.0	17.0	161.0	90.0	550896.0	2078.0	766334.0	20687.0
2019-12-01	1051	4427.0	14.0	147.0	25.0	49718.0	5735.0	183029.0	13404.0
2019-12-01	1047	15388.0	11.0	236.0	35.0	433556.0	5079.0	926866.0	10141.0
2019-12-01	1042	14980.0	16.0	209.0	129.0	143264.0	7800.0	226932.0	37442.0
2019-12-01	1043	18588.0	3.0	110.0	85.0	296742.0	10959.0	151862.0	18146.0
2019-12-01	1069	13255.0	11.0	44.0	145.0	42880.0	6184.0	337041.0	14049.0
2019-12-01	1041	4946.0	21.0	262.0	131.0	29514.0	1615.0	43843.0	2196.0
2019-12-01	1033	26828.0	16.0	138.0	90.0	125887.0	6919.0	143135.0	72149.0
2019-12-01	1032	10128.0	6.0	159.0	90.0	154336.0	15604.0	409694.0	24303.0
2019-12-01	1030	14486.0	17.0	134.0	114.0	99874.0	6424.0	288884.0	53508.0
2019-12-01	1031	5037.0	20.0	83.0	96.0	122672.0	12096.0	457553.0	14326.0
2019-12-01	1035	7634.0	9.0	52.0	69.0	198616.0	6277.0	246776.0	14749.0
2019-12-01	1034	11726.0	11.0	214.0	97.0	121321.0	3720.0	273920.0	4635.0
2019-12-01	1036	5098.0	9.0	254.0	156.0	32019.0	2537.0	74628.0	22987.0
2019-12-01	1037	26893.0	3.0	74.0	132.0	394989.0	21176.0	823387.0	35551.0
2015-05-01	1039	1763.0	6.0	149.0	66.0	26578.0	948.0	23710.0	15925.0
2015-05-01	1038	6796.0	3.0	121.0	66.0	135964.0	1363.0	75470.0	7521.0
2015-05-01	1028	8337.0	12.0	30.0	104.0	132491.0	10602.0	470065.0	10180.0
2015-05-01	1029	39622.0	7.0	47.0	64.0	383617.0	7570.0	1016823.0	47427.0
2015-05-01	1065	2221.0	3.0	146.0	143.0	91702.0	2386.0	102115.0	9120.0
2015-05-01	1058	3977.0	5.0	111.0	27.0	138628.0	13820.0	89989.0	31603.0
2015-05-01	1064	743.0	4.0	230.0	16.0	93266.0	3116.0	61256.0	3407.0
2015-05-01	1066	1626.0	2.0	255.0	129.0	41798.0	434.0	53423.0	1818.0
2015-05-01	1063	2462.0	6.0	199.0	153.0	105530.0	3410.0	104444.0	4288.0
2015-05-01	1062	1127.0	6.0	163.0	79.0	89946.0	2252.0	88166.0	13770.0
2015-05-01	1048	8469.0	12.0	123.0	45.0	165800.0	1479.0	55995.0	8197.0
2015-05-01	1060	4451.0	2.0	124.0	33.0	157513.0	3593.0	194649.0	28790.0
2015-05-01	1061	4011.0	6.0	251.0	66.0	797055.0	10095.0	361123.0	39848.0
2015-05-01	1049	9733.0	8.0	53.0	144.0	98614.0	8715.0	166848.0	4629.0
2015-05-01	1044	10434.0	19.0	35.0	72.0	43434.0	7475.0	398050.0	33419.0
2015-05-01	1045	16808.0	10.0	154.0	112.0	306650.0	5747.0	310515.0	24725.0
2015-05-01	1047	3742.0	15.0	44.0	94.0	63970.0	6317.0	113999.0	12650.0
2015-05-01	1042	11210.0	3.0	148.0	64.0	83917.0	6551.0	279427.0	5819.0
2015-05-01	1043	7225.0	18.0	100.0	17.0	112493.0	6096.0	117559.0	16951.0
2015-05-01	1041	7448.0	17.0	169.0	142.0	128242.0	3747.0	236027.0	6922.0
2015-05-01	1068	3302.0	2.0	149.0	37.0	10623.0	1447.0	82399.0	9906.0
2015-05-01	1033	5265.0	9.0	151.0	113.0	136629.0	3792.0	291306.0	7305.0
2015-05-01	1032	7994.0	21.0	201.0	68.0	147580.0	2602.0	84186.0	9479.0
2015-05-01	1030	12268.0	7.0	28.0	153.0	140963.0	19130.0	195087.0	18621.0
2015-05-01	1031	18566.0	13.0	135.0	38.0	259557.0	10104.0	396010.0	38129.0
2015-05-01	1035	4549.0	8.0	56.0	57.0	44537.0	3599.0	297266.0	15225.0
2015-05-01	1034	10425.0	10.0	113.0	66.0	68036.0	2808.0	50858.0	13748.0
2015-05-01	1036	1390.0	3.0	106.0	85.0	35314.0	5032.0	210733.0	27788.0
2015-05-01	1037	11440.0	2.0	41.0	93.0	120370.0	11086.0	199841.0	74801.0
2019-02-01	1039	3714.0	12.0	190.0	105.0	197167.0	7453.0	474706.0	62697.0
2019-02-01	1038	5130.0	12.0	81.0	108.0	71129.0	5229.0	74984.0	13767.0
2019-02-01	1028	5258.0	12.0	93.0	89.0	138796.0	3700.0	81614.0	16401.0
2019-02-01	1029	16721.0	11.0	205.0	148.0	308886.0	1156.0	205079.0	9315.0
2019-02-01	1071	5561.0	7.0	328.0	68.0	12197.0	2130.0	155310.0	11203.0
2019-02-01	1065	2574.0	6.0	23.0	16.0	90932.0	2904.0	108583.0	5959.0
2019-02-01	1058	1079.0	19.0	157.0	14.0	72833.0	766.0	80805.0	8610.0
2019-02-01	1070	1308.0	12.0	255.0	79.0	183121.0	1692.0	326010.0	124331.0
2019-02-01	1066	3768.0	12.0	87.0	50.0	103926.0	6453.0	116516.0	10943.0
2019-02-01	1072	2515.0	7.0	41.0	85.0	30887.0	1269.0	8981.0	5688.0
2019-02-01	1073	642.0	6.0	62.0	18.0	8405.0	713.0	71171.0	4215.0
2019-02-01	1063	969.0	4.0	221.0	43.0	122145.0	3019.0	85927.0	11603.0
2019-02-01	1062	3237.0	7.0	173.0	117.0	129257.0	462.0	172898.0	7043.0
2019-02-01	1048	1808.0	1.0	29.0	93.0	104108.0	824.0	83955.0	4815.0
2019-02-01	1074	1948.0	9.0	92.0	110.0	65775.0	1440.0	76185.0	3421.0
2019-02-01	1060	10030.0	7.0	36.0	65.0	162105.0	2309.0	108623.0	21231.0
2019-02-01	1061	24282.0	13.0	124.0	52.0	423636.0	4745.0	544210.0	15382.0
2019-02-01	1049	3082.0	3.0	78.0	44.0	28734.0	3253.0	52980.0	9108.0
2019-02-01	1050	1425.0	7.0	28.0	65.0	62907.0	7965.0	204504.0	18556.0
2019-02-01	1044	1374.0	4.0	181.0	105.0	86973.0	1189.0	91917.0	3162.0
2019-02-01	1045	3717.0	12.0	59.0	135.0	70312.0	8239.0	167790.0	7357.0
2019-02-01	1051	532.0	7.0	135.0	115.0	33666.0	1503.0	52867.0	2047.0
2019-02-01	1047	14414.0	8.0	156.0	50.0	239978.0	6284.0	174317.0	3798.0
2019-02-01	1042	5672.0	9.0	132.0	23.0	36724.0	3071.0	215717.0	5833.0
2019-02-01	1043	1834.0	13.0	96.0	88.0	202502.0	8996.0	186915.0	19696.0
2019-02-01	1069	3378.0	2.0	120.0	132.0	54998.0	1052.0	61635.0	12682.0
2019-02-01	1041	769.0	17.0	201.0	21.0	31741.0	328.0	52340.0	2420.0
2019-02-01	1033	4107.0	5.0	161.0	89.0	60870.0	4504.0	169927.0	11193.0
2019-02-01	1032	11064.0	10.0	147.0	134.0	220001.0	15739.0	312636.0	6957.0
2019-02-01	1030	8481.0	5.0	75.0	145.0	92982.0	2809.0	271370.0	7784.0
2019-02-01	1031	3104.0	4.0	130.0	64.0	133255.0	5011.0	214756.0	2457.0
2019-02-01	1035	6836.0	9.0	32.0	117.0	124868.0	1036.0	203925.0	7940.0
2019-02-01	1034	1621.0	7.0	168.0	85.0	117342.0	1867.0	111297.0	9129.0
2019-02-01	1036	1233.0	20.0	135.0	91.0	47284.0	4000.0	106037.0	7645.0
2019-02-01	1037	75562.0	4.0	226.0	137.0	1153457.0	8457.0	2004343.0	32248.0
2017-01-01	1039	9931.0	3.0	100.0	99.0	319702.0	5784.0	301122.0	77584.0
2017-01-01	1038	2411.0	16.0	138.0	97.0	94530.0	1057.0	46611.0	9907.0
2017-01-01	1028	5262.0	9.0	220.0	143.0	225030.0	2859.0	385586.0	6535.0
2017-01-01	1029	19072.0	14.0	78.0	138.0	288393.0	2102.0	761262.0	6992.0
2017-01-01	1065	1307.0	7.0	27.0	154.0	23198.0	4398.0	31589.0	17537.0
2017-01-01	1058	1605.0	7.0	48.0	16.0	50476.0	2626.0	12771.0	4483.0
2017-01-01	1064	5987.0	11.0	55.0	62.0	92715.0	6401.0	68231.0	33138.0
2017-01-01	1070	11028.0	11.0	130.0	94.0	246658.0	6702.0	129282.0	91678.0
